"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;lower secondary;2021;[person]";"total;primary completed;2021;[person]";
1461000;"City with powiat status Ostrołęka";43126;12079;1144;4189;
1461011;"Ostrołęka (1)";43126;12079;1144;4189;
1462000;"City with powiat status Płock";100722;27585;2582;9441;
1462011;"Płock (1)";100722;27585;2582;9441;
1463000;"City with powiat status Radom";176775;51159;4833;18561;
1463011;"Radom (1)";176775;51159;4833;18561;
1464000;"City with powiat status Siedlce";65025;21669;1532;5190;
1464011;"Siedlce (1)";65025;21669;1532;5190;
1465000;"City with powiat status Capital City Warszawa";1608993;763230;33469;91159;
1465011;"Capital city Warszawa since 2002 (1)";1608993;763230;33469;91159;
1465028;"Bemowo - district (8)";109685;55394;2055;5016;
1465038;"Białołęka - district (8)";122334;62649;2986;6052;
1465048;"Bielany - district (8)";118361;51625;2449;7233;
1465058;"Mokotów - district (8)";200058;100141;3731;10414;
1465068;"Ochota - district (8)";70575;33183;1394;3972;
1465078;"Praga-Południe - district (8)";164023;75730;3039;9124;
1465088;"Praga-Północ - district (8)";55250;17787;1647;5413;
1465098;"Rembertów - district (8)";21170;8550;518;1452;
1465108;"Śródmieście - district (8)";94147;44125;1690;5092;
1465118;"Targówek - district (8)";108956;39309;2489;8208;
1465128;"Ursus - district (8)";55576;25362;1375;3249;
1465138;"Ursynów - district (8)";131839;72785;2601;5880;
1465148;"Wawer - district (8)";71939;32450;1847;4782;
1465158;"Wesoła - district (8)";22133;9932;612;1353;
1465168;"Wilanów - district (8)";39191;25058;757;1634;
1465178;"Włochy - district (8)";41464;20396;902;2277;
1465188;"Wola - district (8)";133197;61352;2592;7896;
1465198;"Żoliborz - district (8)";49095;27402;785;2112;
1600000;"OPOLSKIE";838197;173745;21942;97145;
1601000;"Powiat brzeski";76537;14802;2196;8867;
1601011;"Brzeg (1)";30358;7119;804;2860;
1601022;"Skarbimierz (2)";7199;1527;255;826;
1601033;"Grodków (3)";16035;2467;430;2196;
1601034;"Grodków - urban area (4)";7243;1462;166;772;
1601035;"Grodków - rural area (5)";8792;1005;264;1424;
1601043;"Lewin Brzeski (3)";11093;1767;384;1440;
1601044;"Lewin Brzeski - urban area (4)";4981;917;168;567;
1601045;"Lewin Brzeski - rural area (5)";6112;850;216;873;
1601052;"Lubsza (2)";7763;1329;232;988;
1601062;"Olszanka (2)";4089;593;91;557;
1602000;"Powiat głubczycki";38919;6301;1188;5821;
1602013;"Baborów (3)";5158;686;170;763;
1602014;"Baborów - urban area (4)";2546;395;70;319;
1602015;"Baborów - rural area (5)";2612;291;100;444;
1602022;"Branice (2)";5764;834;169;974;
1602033;"Głubczyce (3)";18882;3475;600;2680;
1602034;"Głubczyce - urban area (4)";10714;2361;355;1295;
1602035;"Głubczyce - rural area (5)";8168;1114;245;1385;
1602043;"Kietrz (3)";9115;1306;249;1404;
1602044;"Kietrz - urban area (4)";5014;809;120;646;
1602045;"Kietrz - rural area (5)";4101;497;129;758;
1603000;"Powiat kędzierzyńsko-kozielski";78943;15135;2205;9138;
1603011;"Kędzierzyn-Koźle (1)";50702;10964;1419;5278;
1603022;"Bierawa (2)";6590;1093;206;799;
1603032;"Cisek (2)";4756;621;113;702;
1603042;"Pawłowiczki (2)";6334;837;210;1002;
1603052;"Polska Cerekiew (2)";3449;462;94;536;
1603062;"Reńska Wieś (2)";7112;1158;163;821;
1604000;"Powiat kluczborski";55467;9627;1541;7110;
1604013;"Byczyna (3)";7750;1025;272;1170;
1604014;"Byczyna - urban area (4)";3094;563;93;320;
1604015;"Byczyna - rural area (5)";4656;462;179;850;
1604023;"Kluczbork (3)";30777;6344;788;3283;
1604024;"Kluczbork - urban area (4)";20252;4529;511;1929;
1604025;"Kluczbork - rural area (5)";10525;1815;277;1354;
1604032;"Lasowice Wielkie (2)";5707;827;129;834;
1604043;"Wołczyn (3)";11233;1431;352;1823;
1604044;"Wołczyn - urban area (4)";4930;792;148;644;
1604045;"Wołczyn - rural area (5)";6303;639;204;1179;
1605000;"Powiat krapkowicki";53313;9493;1423;7169;
1605013;"Gogolin (3)";10120;1907;263;1394;
1605014;"Gogolin - urban area (4)";5533;1153;160;685;
1605015;"Gogolin - rural area (5)";4587;754;103;709;
1605023;"Krapkowice (3)";19526;3806;487;2494;
1605024;"Krapkowice - urban area (4)";14104;2963;340;1681;
1605025;"Krapkowice - rural area (5)";5422;843;147;813;
1605032;"Strzeleczki (2)";6299;884;182;929;
1605042;"Walce (2)";4608;702;111;643;
1605053;"Zdzieszowice (3)";12760;2194;380;1709;
1605054;"Zdzieszowice - urban area (4)";9264;1553;275;1248;
1605055;"Zdzieszowice - rural area (5)";3496;641;105;461;
1606000;"Powiat namysłowski";36592;6394;1030;4839;
1606012;"Domaszowice (2)";3029;378;116;442;
1606023;"Namysłów (3)";22674;4548;580;2637;
1606024;"Namysłów - urban area (4)";14643;3501;316;1364;
1606025;"Namysłów - rural area (5)";8031;1047;264;1273;
1606032;"Pokój (2)";4447;685;125;636;
1606042;"Świerczów (2)";2758;358;78;459;
1606052;"Wilków (2)";3684;425;131;665;
1607000;"Powiat nyski";116471;21499;3042;13547;
1607013;"Głuchołazy (3)";20441;3460;517;2562;
1607014;"Głuchołazy - urban area (4)";11741;2119;286;1334;
1607015;"Głuchołazy - rural area (5)";8700;1341;231;1228;
1607022;"Kamiennik (2)";2882;339;93;454;
1607033;"Korfantów (3)";7484;974;221;1216;
1607034;"Korfantów - urban area (4)";1554;305;32;208;
1607035;"Korfantów - rural area (5)";5930;669;189;1008;
1607042;"Łambinowice (2)";6501;915;176;1027;
1607053;"Nysa (3)";48888;11254;1190;4586;
1607054;"Nysa - urban area (4)";37596;9239;873;3240;
1607055;"Nysa - rural area (5)";11292;2015;317;1346;
1607063;"Otmuchów (3)";11533;1799;355;1328;
1607064;"Otmuchów - urban area (4)";5671;1144;158;509;
1607065;"Otmuchów - rural area (5)";5862;655;197;819;
1607073;"Paczków (3)";10518;1604;251;1124;
1607074;"Paczków - urban area (4)";6213;1050;137;588;
1607075;"Paczków - rural area (5)";4305;554;114;536;
1607082;"Pakosławice (2)";3036;497;76;408;
1607092;"Skoroszyce (2)";5188;657;163;842;
1608000;"Powiat oleski";54562;9215;1300;7113;
1608013;"Dobrodzień (3)";8138;1211;187;1055;
1608014;"Dobrodzień - urban area (4)";3103;565;69;349;
1608015;"Dobrodzień - rural area (5)";5035;646;118;706;
1608023;"Gorzów Śląski (3)";6215;791;145;906;
1608024;"Gorzów Śląski - urban area (4)";2150;343;53;228;
1608025;"Gorzów Śląski - rural area (5)";4065;448;92;678;
1608033;"Olesno (3)";15299;3064;348;1783;
1608034;"Olesno - urban area (4)";8110;2049;181;774;
1608035;"Olesno - rural area (5)";7189;1015;167;1009;
1608043;"Praszka (3)";11403;2252;251;1237;
1608044;"Praszka - urban area (4)";6443;1411;122;542;
1608045;"Praszka - rural area (5)";4960;841;129;695;
1608052;"Radłów (2)";3591;400;94;638;
1608062;"Rudniki (2)";6831;1115;203;1032;
1608072;"Zębowice (2)";3085;382;72;462;
1609000;"Powiat opolski";105701;21503;2744;12091;
1609012;"Chrząstowice (2)";6037;1509;153;602;
1609022;"Dąbrowa (2)";7048;1589;160;772;
1609032;"Dobrzeń Wielki (2)";7854;1892;175;731;
1609042;"Komprachcice (2)";8097;1790;186;815;
1609052;"Łubniany (2)";8641;2037;238;901;
1609062;"Murów (2)";4590;637;142;702;
1609073;"Niemodlin (3)";11268;1880;356;1478;
1609074;"Niemodlin - urban area (4)";5417;1035;153;646;
1609075;"Niemodlin - rural area (5)";5851;845;203;832;
1609083;"Ozimek (3)";16477;3197;402;1943;
1609084;"Ozimek - urban area (4)";7336;1614;176;854;
1609085;"Ozimek - rural area (5)";9141;1583;226;1089;
1609092;"Popielów (2)";6859;1066;182;905;
1609103;"Prószków (3)";7663;1598;171;859;
1609104;"Prószków - urban area (4)";2246;560;63;237;
1609105;"Prószków - rural area (5)";5417;1038;108;622;
1609112;"Tarnów Opolski (2)";8209;1578;223;920;
1609123;"Tułowice (3)";4399;824;131;500;
1609124;"Tułowice - urban area (4)";3311;650;96;370;
1609125;"Tułowice - rural area (5)";1088;174;35;130;
1609132;"Turawa (2)";8559;1906;225;963;
1610000;"Powiat prudnicki";46526;8033;1179;5861;
1610013;"Biała (3)";8837;1200;200;1357;
1610014;"Biała - urban area (4)";2087;383;47;283;
1610015;"Biała - rural area (5)";6750;817;153;1074;
1610023;"Głogówek (3)";11348;1748;308;1451;
1610024;"Głogówek - urban area (4)";4875;967;137;566;
1610025;"Głogówek - rural area (5)";6473;781;171;885;
1610032;"Lubrza (2)";3609;579;96;447;
1610043;"Prudnik (3)";22732;4506;575;2606;
1610044;"Prudnik - urban area (4)";17565;3643;426;1947;
1610045;"Prudnik - rural area (5)";5167;863;149;659;
1611000;"Powiat strzelecki";63133;11018;1681;8078;
1611012;"Izbicko (2)";4473;726;121;602;
1611022;"Jemielnica (2)";6029;878;159;825;
1611033;"Kolonowskie (3)";4999;820;116;602;
1611034;"Kolonowskie - urban area (4)";2799;450;78;323;
1611035;"Kolonowskie - rural area (5)";2200;370;38;279;
1611043;"Leśnica (3)";6663;1126;181;864;
1611044;"Leśnica - urban area (4)";2272;426;77;299;
1611045;"Leśnica - rural area (5)";4391;700;104;565;
1611053;"Strzelce Opolskie (3)";26060;5036;710;3196;
1611054;"Strzelce Opolskie - urban area (4)";15442;3407;428;1713;
1611055;"Strzelce Opolskie - rural area (5)";10618;1629;282;1483;
1611063;"Ujazd (3)";5391;772;150;776;
1611064;"Ujazd - urban area (4)";1519;289;38;195;
1611065;"Ujazd - rural area (5)";3872;483;112;581;
1611073;"Zawadzkie (3)";9518;1660;244;1213;
1611074;"Zawadzkie - urban area (4)";5973;1107;144;798;
1611075;"Zawadzkie - rural area (5)";3545;553;100;415;
1661000;"City with powiat status Opole";112033;40725;2413;7511;
1661011;"Opole (1)";112033;40725;2413;7511;
1800000;"PODKARPACKIE";1805128;400102;49067;220641;
1801000;"Powiat bieszczadzki";18363;3351;508;2765;
1801032;"Czarna (2)";2036;312;95;369;
1801052;"Lutowiska (2)";1808;376;51;322;
1801083;"Ustrzyki Dolne (3)";14519;2663;362;2074;
1801084;"Ustrzyki Dolne - urban area (4)";7640;1684;178;787;
1801085;"Ustrzyki Dolne - rural area (5)";6879;979;184;1287;
1802000;"Powiat brzozowski";55072;9548;1716;8995;
1802013;"Brzozów (3)";22416;4514;677;2896;
1802014;"Brzozów - urban area (4)";6416;1775;150;581;
1802015;"Brzozów - rural area (5)";16000;2739;527;2315;
1802022;"Domaradz (2)";5021;761;168;869;
1802032;"Dydnia (2)";6689;933;197;1577;
1802042;"Haczów (2)";7775;1346;270;1094;
1802052;"Jasienica Rosielna (2)";6439;1142;218;880;
1802062;"Nozdrzec (2)";6732;852;186;1679;
1803000;"Powiat dębicki";114327;21486;3057;14876;
1803011;"Dębica (1)";38459;9799;847;3406;
1803023;"Brzostek (3)";10996;1323;282;2278;
1803024;"Brzostek - urban area (4)";2327;526;44;242;
1803025;"Brzostek - rural area (5)";8669;797;238;2036;
1803032;"Czarna (2)";11138;1777;352;1472;
1803042;"Dębica (2)";21842;3772;632;2790;
1803052;"Jodłowa (2)";4474;541;111;924;
1803063;"Pilzno (3)";15335;2280;441;2343;
1803064;"Pilzno - urban area (4)";4166;891;107;435;
1803065;"Pilzno - rural area (5)";11169;1389;334;1908;
1803072;"Żyraków (2)";12083;1994;392;1663;
1804000;"Powiat jarosławski";101790;20221;2998;13997;
1804011;"Jarosław (1)";32079;8915;761;2624;
1804021;"Radymno (1)";4477;1051;99;390;
1804032;"Chłopice (2)";4630;631;152;859;
1804042;"Jarosław (2)";11247;2100;346;1481;
1804052;"Laszki (2)";5747;730;181;1202;
1804062;"Pawłosiów (2)";7297;1547;228;869;
1804073;"Pruchnik (3)";8086;1047;289;1770;
1804074;"Pruchnik - urban area (4)";3137;547;103;564;
1804075;"Pruchnik - rural area (5)";4949;500;186;1206;
1804082;"Radymno (2)";9530;1345;310;1616;
1804092;"Rokietnica (2)";3638;439;105;737;
1804102;"Roźwienica (2)";5243;769;170;954;
1804112;"Wiązownica (2)";9816;1647;357;1495;
1805000;"Powiat jasielski";96522;18028;2675;12503;
1805011;"Jasło (1)";30063;7725;690;2607;
1805022;"Brzyska (2)";5444;826;210;799;
1805032;"Dębowiec (2)";7519;1147;220;1094;
1805042;"Jasło (2)";13904;2491;401;1743;
1805053;"Kołaczyce (3)";7577;1146;228;1258;
1805054;"Kołaczyce - urban area (4)";1222;275;41;133;
1805055;"Kołaczyce - rural area (5)";6355;871;187;1125;
1805062;"Krempna (2)";1531;196;65;328;
1805072;"Nowy Żmigród (2)";7667;1188;203;1367;
1805082;"Osiek Jasielski (2)";4471;586;106;784;
1805092;"Skołyszyn (2)";10553;1574;309;1414;
1805112;"Tarnowiec (2)";7793;1149;243;1109;
1806000;"Powiat kolbuszowski";53247;8833;1586;7794;
1806012;"Cmolas (2)";6904;916;210;1188;
1806023;"Kolbuszowa (3)";21288;4322;562;2440;
1806024;"Kolbuszowa - urban area (4)";7690;2006;188;602;
1806025;"Kolbuszowa - rural area (5)";13598;2316;374;1838;
1806032;"Majdan Królewski (2)";8373;1235;257;1440;
1806042;"Niwiska (2)";5222;679;140;904;
1806052;"Raniżów (2)";5964;864;238;874;
1806062;"Dzikowiec (2)";5496;817;179;948;
1807000;"Powiat krośnieński";94676;18420;2628;11891;
1807012;"Chorkówka (2)";11627;2015;376;1574;
1807023;"Dukla (3)";12190;2092;379;2002;
1807024;"Dukla - urban area (4)";1790;504;47;181;
1807025;"Dukla - rural area (5)";10400;1588;332;1821;
1807033;"Iwonicz-Zdrój (3)";8999;1710;220;1151;
1807034;"Iwonicz-Zdrój - urban area (4)";1455;426;27;95;
1807035;"Iwonicz-Zdrój - rural area (5)";7544;1284;193;1056;
1807043;"Jedlicze (3)";12992;2698;377;1404;
1807044;"Jedlicze - urban area (4)";4855;1188;134;439;
1807045;"Jedlicze - rural area (5)";8137;1510;243;965;
1807052;"Korczyna (2)";9552;1966;227;1115;
1807062;"Krościenko Wyżne (2)";4664;1073;125;460;
1807072;"Miejsce Piastowe (2)";11638;2394;333;1095;
1807083;"Rymanów (3)";13257;2812;305;1637;
1807084;"Rymanów - urban area (4)";3160;896;52;308;
1807085;"Rymanów - rural area (5)";10097;1916;253;1329;
1807092;"Wojaszówka (2)";7943;1424;220;1025;
1807102;"Jaśliska (2)";1814;236;66;428;
1808000;"Powiat leżajski";58700;10940;1588;7655;
1808011;"Leżajsk (1)";11781;3268;253;865;
1808022;"Grodzisko Dolne (2)";6745;1087;180;961;
1808032;"Kuryłówka (2)";4778;712;129;696;
1808042;"Leżajsk (2)";17146;2795;525;2500;
1808053;"Nowa Sarzyna (3)";18250;3078;501;2633;
1808054;"Nowa Sarzyna - urban area (4)";4963;1073;135;452;
1808055;"Nowa Sarzyna - rural area (5)";13287;2005;366;2181;
1809000;"Powiat lubaczowski";46969;8574;1306;7523;
1809011;"Lubaczów (1)";10221;3006;238;840;
1809023;"Cieszanów (3)";6111;882;189;919;
1809024;"Cieszanów - urban area (4)";1665;299;47;171;
1809025;"Cieszanów - rural area (5)";4446;583;142;748;
1809032;"Horyniec-Zdrój (2)";3936;665;125;713;
1809042;"Lubaczów (2)";7784;1184;218;1431;
1809053;"Narol (3)";6797;963;178;1318;
1809054;"Narol - urban area (4)";1782;332;53;231;
1809055;"Narol - rural area (5)";5015;631;125;1087;
1809063;"Oleszyce (3)";5343;977;154;854;
1809064;"Oleszyce - urban area (4)";2528;563;61;297;
1809065;"Oleszyce - rural area (5)";2815;414;93;557;
1809072;"Stary Dzików (2)";3580;429;138;813;
1809082;"Wielkie Oczy (2)";3197;468;66;635;
1810000;"Powiat łańcucki";68608;15617;2071;7645;
1810011;"Łańcut (1)";15376;5004;363;1101;
1810022;"Białobrzegi (2)";7329;1341;237;917;
1810032;"Czarna (2)";10075;2099;324;1178;
1810042;"Łańcut (2)";18356;4052;576;1983;
1810052;"Markowa (2)";5422;955;185;782;
1810062;"Rakszawa (2)";6126;1003;235;909;
1810072;"Żołynia (2)";5924;1163;151;775;
1811000;"Powiat mielecki";115188;22749;3041;12131;
1811011;"Mielec (1)";50956;13310;1165;3711;
1811022;"Borowa (2)";4589;602;145;565;
1811032;"Czermin (2)";5940;812;153;807;
1811042;"Gawłuszowice (2)";2308;274;77;293;
1811052;"Mielec (2)";11585;2237;297;1150;
1811062;"Padew Narodowa (2)";4485;711;121;585;
1811073;"Przecław (3)";9988;1349;306;1374;
1811074;"Przecław - urban area (4)";1481;284;38;149;
1811075;"Przecław - rural area (5)";8507;1065;268;1225;
1811083;"Radomyśl Wielki (3)";11993;1524;345;1882;
1811084;"Radomyśl Wielki - urban area (4)";2795;566;74;238;
1811085;"Radomyśl Wielki - rural area (5)";9198;958;271;1644;
1811092;"Tuszów Narodowy (2)";6947;1102;225;858;
1811102;"Wadowice Górne (2)";6397;828;207;906;
1812000;"Powiat niżański";56678;10141;1562;8372;
1812012;"Harasiuki (2)";5157;781;156;961;
1812022;"Jarocin (2)";4499;581;124;895;
1812032;"Jeżowe (2)";8451;1100;266;1549;
1812042;"Krzeszów (2)";3653;551;111;600;
1812053;"Nisko (3)";19041;4337;449;2033;
1812054;"Nisko - urban area (4)";13097;3220;303;1151;
1812055;"Nisko - rural area (5)";5944;1117;146;882;
1812063;"Rudnik nad Sanem (3)";8771;1672;248;1047;
1812064;"Rudnik nad Sanem - urban area (4)";5788;1229;163;632;
1812065;"Rudnik nad Sanem - rural area (5)";2983;443;85;415;
1812073;"Ulanów (3)";7106;1119;208;1287;
1812074;"Ulanów - urban area (4)";1235;260;43;175;
1812075;"Ulanów - rural area (5)";5871;859;165;1112;
1813000;"Powiat przemyski";61906;10695;1929;9480;
1813012;"Bircza (2)";5247;642;172;1086;
1813023;"Dubiecko (3)";7699;1135;237;1691;
1813024;"Dubiecko - urban area (4)";738;198;15;87;
1813025;"Dubiecko - rural area (5)";6961;937;222;1604;
1813032;"Fredropol (2)";4589;566;147;825;
1813042;"Krasiczyn (2)";4402;988;142;611;
1813052;"Krzywcza (2)";3939;538;102;696;
1813062;"Medyka (2)";5411;819;194;747;
1813072;"Orły (2)";7320;1212;232;1001;
1813082;"Przemyśl (2)";9132;2162;280;973;
1813092;"Stubno (2)";3232;415;118;607;
1813102;"Żurawica (2)";10935;2218;305;1243;
1814000;"Powiat przeworski";66100;12346;1968;9402;
1814011;"Przeworsk (1)";12998;3642;311;1025;
1814022;"Adamówka (2)";3494;491;124;760;
1814032;"Gać (2)";3868;630;135;616;
1814042;"Jawornik Polski (2)";3777;558;113;755;
1814053;"Kańczuga (3)";10348;1621;287;1622;
1814054;"Kańczuga - urban area (4)";2588;589;50;204;
1814055;"Kańczuga - rural area (5)";7760;1032;237;1418;
1814062;"Przeworsk (2)";12528;2188;385;1719;
1814073;"Sieniawa (3)";5945;1080;201;902;
1814074;"Sieniawa - urban area (4)";1789;444;60;172;
1814075;"Sieniawa - rural area (5)";4156;636;141;730;
1814082;"Tryńcza (2)";7150;1097;237;1052;
1814092;"Zarzecze (2)";5992;1039;175;951;
1815000;"Powiat ropczycko-sędziszowski";62585;11280;2000;8895;
1815012;"Iwierzyce (2)";6497;1158;229;894;
1815022;"Ostrów (2)";6148;809;206;980;
1815033;"Ropczyce (3)";22996;4505;697;3015;
1815034;"Ropczyce - urban area (4)";13396;3282;340;1296;
1815035;"Ropczyce - rural area (5)";9600;1223;357;1719;
1815043;"Sędziszów Małopolski (3)";20208;4000;601;2612;
1815044;"Sędziszów Małopolski - urban area (4)";10429;2528;266;1059;
1815045;"Sędziszów Małopolski - rural area (5)";9779;1472;335;1553;
1815052;"Wielopole Skrzyńskie (2)";6736;808;267;1394;
1816000;"Powiat rzeszowski";145699;33391;4129;17985;
1816011;"Dynów (1)";5264;1045;144;773;
1816023;"Błażowa (3)";9307;1617;185;1500;
1816024;"Błażowa - urban area (4)";1828;475;42;195;
1816025;"Błażowa - rural area (5)";7479;1142;143;1305;
1816033;"Boguchwała (3)";18278;5282;498;1759;
1816034;"Boguchwała - urban area (4)";5328;1722;126;439;
1816035;"Boguchwała - rural area (5)";12950;3560;372;1320;
1816042;"Chmielnik (2)";6144;1330;180;895;
1816052;"Dynów (2)";5814;707;182;1276;
1816063;"Głogów Małopolski (3)";15967;3802;438;1690;
1816064;"Głogów Małopolski - urban area (4)";8468;2401;223;743;
1816065;"Głogów Małopolski - rural area (5)";7499;1401;215;947;
1816072;"Hyżne (2)";5902;921;192;958;
1816082;"Kamień (2)";5885;865;162;994;
1816092;"Krasne (2)";10330;3096;311;977;
1816102;"Lubenia (2)";5668;1078;143;812;
1816113;"Sokołów Małopolski (3)";14569;2531;432;2167;
1816114;"Sokołów Małopolski - urban area (4)";3552;1000;93;302;
1816115;"Sokołów Małopolski - rural area (5)";11017;1531;339;1865;
1816122;"Świlcza (2)";13905;3380;391;1366;
1816132;"Trzebownisko (2)";19370;5301;568;1745;
1816143;"Tyczyn (3)";9296;2436;303;1073;
1816144;"Tyczyn - urban area (4)";3601;1213;115;297;
1816145;"Tyczyn - rural area (5)";5695;1223;188;776;
1817000;"Powiat sanocki";79551;16413;2198;9832;
1817011;"Sanok (1)";31630;8431;725;2554;
1817022;"Besko (2)";3710;629;99;544;
1817032;"Bukowsko (2)";4498;629;135;727;
1817042;"Komańcza (2)";3857;569;113;806;
1817052;"Sanok (2)";15411;2687;487;2191;
1817062;"Tyrawa Wołoska (2)";1673;215;48;421;
1817073;"Zagórz (3)";11057;1947;317;1536;
1817074;"Zagórz - urban area (4)";4385;876;115;461;
1817075;"Zagórz - rural area (5)";6672;1071;202;1075;
1817082;"Zarszyn (2)";7715;1306;274;1053;
1818000;"Powiat stalowowolski";90549;20096;2330;10972;
1818011;"Stalowa Wola (1)";51163;12869;1209;4782;
1818022;"Bojanów (2)";6483;950;204;1070;
1818032;"Pysznica (2)";9962;2320;263;1314;
1818042;"Radomyśl nad Sanem (2)";6318;1040;185;1144;
1818053;"Zaklików (3)";7167;1187;195;1285;
1818054;"Zaklików - urban area (4)";2513;495;65;363;
1818055;"Zaklików - rural area (5)";4654;692;130;922;
1818062;"Zaleszany (2)";9456;1730;274;1377;
1819000;"Powiat strzyżowski";52142;9170;1465;7415;
1819012;"Czudec (2)";9941;1953;270;1290;
1819022;"Frysztak (2)";8932;1446;238;1402;
1819032;"Niebylec (2)";8978;1289;257;1495;
1819043;"Strzyżów (3)";17512;3459;465;2130;
1819044;"Strzyżów - urban area (4)";7503;1900;168;679;
1819045;"Strzyżów - rural area (5)";10009;1559;297;1451;
1819052;"Wiśniowa (2)";6779;1023;235;1098;
1820000;"Powiat tarnobrzeski";45261;8096;1173;6478;
1820013;"Baranów Sandomierski (3)";10115;1677;298;1493;
1820014;"Baranów Sandomierski - urban area (4)";1267;270;35;139;
1820015;"Baranów Sandomierski - rural area (5)";8848;1407;263;1354;
1820022;"Gorzyce (2)";11169;1975;317;1527;
1820032;"Grębów (2)";8617;1448;230;1642;
1820043;"Nowa Dęba (3)";15360;2996;328;1816;
1820044;"Nowa Dęba - urban area (4)";9428;2015;185;981;
1820045;"Nowa Dęba - rural area (5)";5932;981;143;835;
1821000;"Powiat leski";22650;4298;609;3670;
1821012;"Baligród (2)";2674;419;92;569;
1821022;"Cisna (2)";1498;341;46;273;
1821033;"Lesko (3)";9678;1955;268;1407;
1821034;"Lesko - urban area (4)";4632;1138;122;494;
1821035;"Lesko - rural area (5)";5046;817;146;913;
1821042;"Olszanica (2)";4178;667;111;622;
1821052;"Solina (2)";4622;916;92;799;
1861000;"City with powiat status Krosno";39545;11962;1019;2734;
1861011;"Krosno (1)";39545;11962;1019;2734;
1862000;"City with powiat status Przemyśl";51723;14350;1256;4354;
1862011;"Przemyśl (1)";51723;14350;1256;4354;
1863000;"City with powiat status Rzeszów";167258;69345;3395;9799;
1863011;"Rzeszów (1)";167258;69345;3395;9799;
1864000;"City with powiat status Tarnobrzeg";40019;10752;860;3478;
1864011;"Tarnobrzeg (1)";40019;10752;860;3478;
2000000;"PODLASKIE";1000368;237844;27788;144893;
2001000;"Powiat augustowski";48739;9281;1451;7977;
2001011;"Augustów (1)";25828;6226;676;3007;
2001022;"Augustów (2)";5532;708;202;1092;
2001032;"Bargłów Kościelny (2)";4418;515;151;982;
2001043;"Lipsk (3)";4213;550;125;836;
2001044;"Lipsk - urban area (4)";1935;367;45;232;
2001045;"Lipsk - rural area (5)";2278;183;80;604;
2001052;"Nowinka (2)";2479;407;92;551;
2001062;"Płaska (2)";2111;405;88;479;
2001072;"Sztabin (2)";4158;470;117;1030;
2002000;"Powiat białostocki";131163;32272;3659;17043;
2002013;"Choroszcz (3)";14200;4001;383;1506;
2002014;"Choroszcz - urban area (4)";5153;1302;141;523;
2002015;"Choroszcz - rural area (5)";9047;2699;242;983;
2002023;"Czarna Białostocka (3)";9625;1666;317;1312;
2002024;"Czarna Białostocka - urban area (4)";7842;1323;256;1001;
2002025;"Czarna Białostocka - rural area (5)";1783;343;61;311;
2002032;"Dobrzyniewo Duże (2)";8356;1976;261;1212;
2002042;"Gródek (2)";4391;714;108;875;
2002052;"Juchnowiec Kościelny (2)";14847;4659;374;1552;
2002063;"Łapy (3)";18296;3730;431;2005;
2002064;"Łapy - urban area (4)";12992;2875;299;1223;
2002065;"Łapy - rural area (5)";5304;855;132;782;
2002073;"Michałowo (3)";5467;788;115;1125;
2002074;"Michałowo - urban area (4)";2516;414;51;389;
2002075;"Michałowo - rural area (5)";2951;374;64;736;
2002082;"Poświętne (2)";2780;309;100;583;
2002093;"Supraśl (3)";14332;4926;387;1417;
2002094;"Supraśl - urban area (4)";3917;1173;96;431;
2002095;"Supraśl - rural area (5)";10415;3753;291;986;
2002103;"Suraż (3)";1639;247;64;182;
2002104;"Suraż - urban area (4)";812;140;27;73;
2002105;"Suraż - rural area (5)";827;107;37;109;
2002112;"Turośń Kościelna (2)";5735;1532;173;689;
2002123;"Tykocin (3)";5148;675;159;1093;
2002124;"Tykocin - urban area (4)";1669;297;53;257;
2002125;"Tykocin - rural area (5)";3479;378;106;836;
2002133;"Wasilków (3)";15848;5050;440;1552;
2002134;"Wasilków - urban area (4)";10134;3035;274;928;
2002135;"Wasilków - rural area (5)";5714;2015;166;624;
2002143;"Zabłudów (3)";8250;1773;261;1244;
2002144;"Zabłudów - urban area (4)";2125;441;61;234;
2002145;"Zabłudów - rural area (5)";6125;1332;200;1010;
2002152;"Zawady (2)";2249;226;86;696;
2003000;"Powiat bielski";45796;8835;1355;8200;
2003011;"Bielsk Podlaski (1)";21482;5663;565;2221;
2003021;"Brańsk (1)";3077;568;93;407;
2003032;"Bielsk Podlaski (2)";5731;894;156;1330;
2003042;"Boćki (2)";3477;376;114;943;
2003052;"Brańsk (2)";4715;489;152;1354;
2003062;"Orla (2)";2289;289;50;602;
2003072;"Rudka (2)";1503;174;52;411;
2003082;"Wyszki (2)";3522;382;173;932;
2004000;"Powiat grajewski";39447;6339;1362;7433;
2004011;"Grajewo (1)";18581;3602;583;2388;
2004022;"Grajewo (2)";4724;560;233;1136;
2004032;"Radziłów (2)";3872;423;103;1131;
2004043;"Rajgród (3)";4217;627;134;941;
2004044;"Rajgród - urban area (4)";1342;251;26;198;
2004045;"Rajgród - rural area (5)";2875;376;108;743;
2004053;"Szczuczyn (3)";5101;821;185;965;
2004054;"Szczuczyn - urban area (4)";2817;553;79;400;
2004055;"Szczuczyn - rural area (5)";2284;268;106;565;
2004062;"Wąsosz (2)";2952;306;124;872;
2005000;"Powiat hajnowski";36073;6969;831;6027;
2005011;"Hajnówka (1)";17383;3827;404;2157;
