"Code";"Name";"total;place of residence;as of 30 June;total;2024;[person]";"in urban areas;place of residence;as of 30 June;total;2024;[person]";"in rural areas;place of residence;as of 30 June;total;2024;[person]";
2602034;"Małogoszcz - urban area (4)";3330;3330;0;
2602035;"Małogoszcz - rural area (5)";7672;0;7672;
2602042;"Nagłowice (2)";4671;0;4671;
2602052;"Oksa (2)";4349;0;4349;
2602063;"Sędziszów (3)";11688;6083;5605;
2602064;"Sędziszów - urban area (4)";6083;6083;0;
2602065;"Sędziszów - rural area (5)";5605;0;5605;
2602072;"Słupia (2)";3875;0;3875;
2602082;"Sobków (2)";8323;0;8323;
2602093;"Wodzisław (3)";6317;951;5366;
2602094;"Wodzisław - urban area (4)";951;951;0;
2602095;"Wodzisław - rural area (5)";5366;0;5366;
2603000;"Powiat kazimierski";31537;6462;25075;
2603000;"Powiat kazimierski - URBAN-RURAL GMINAS";24142;6462;17680;
2603012;"Bejsce (2)";3834;0;3834;
2603022;"Czarnocin (2)";3561;0;3561;
2603033;"Kazimierza Wielka (3)";15128;4969;10159;
2603034;"Kazimierza Wielka - urban area (4)";4969;4969;0;
2603035;"Kazimierza Wielka - rural area (5)";10159;0;10159;
2603043;"Opatowiec (3)";2929;307;2622;
2603044;"Opatowiec - urban area (4)";307;307;0;
2603045;"Opatowiec - rural area (5)";2622;0;2622;
2603053;"Skalbmierz (3)";6085;1186;4899;
2603054;"Skalbmierz - urban area (4)";1186;1186;0;
2603055;"Skalbmierz - rural area (5)";4899;0;4899;
2604000;"Powiat kielecki";211751;22756;188995;
2604000;"Powiat kielecki - URBAN-RURAL GMINAS";116237;22756;93481;
2604012;"Bieliny (2)";9922;0;9922;
2604023;"Bodzentyn (3)";10915;2079;8836;
2604024;"Bodzentyn - urban area (4)";2079;2079;0;
2604025;"Bodzentyn - rural area (5)";8836;0;8836;
2604033;"Chęciny (3)";14749;4304;10445;
2604034;"Chęciny - urban area (4)";4304;4304;0;
2604035;"Chęciny - rural area (5)";10445;0;10445;
2604043;"Chmielnik (3)";10702;3408;7294;
2604044;"Chmielnik - urban area (4)";3408;3408;0;
2604045;"Chmielnik - rural area (5)";7294;0;7294;
2604053;"Daleszyce (3)";16273;2737;13536;
2604054;"Daleszyce - urban area (4)";2737;2737;0;
2604055;"Daleszyce - rural area (5)";13536;0;13536;
2604062;"Górno (2)";15210;0;15210;
2604073;"Łagów (3)";6544;1511;5033;
2604074;"Łagów - urban area (4)";1511;1511;0;
2604075;"Łagów - rural area (5)";5033;0;5033;
2604083;"Łopuszno (3)";8691;1437;7254;
2604084;"Łopuszno - urban area (4)";1437;1437;0;
2604085;"Łopuszno - rural area (5)";7254;0;7254;
2604092;"Masłów (2)";11991;0;11991;
2604102;"Miedziana Góra (2)";12627;0;12627;
2604112;"Mniów (2)";9031;0;9031;
2604123;"Morawica (3)";18043;1759;16284;
2604124;"Morawica - urban area (4)";1759;1759;0;
2604125;"Morawica - rural area (5)";16284;0;16284;
2604133;"Nowa Słupia (3)";8764;1290;7474;
2604134;"Nowa Słupia - urban area (4)";1290;1290;0;
2604135;"Nowa Słupia - rural area (5)";7474;0;7474;
2604143;"Piekoszów (3)";16881;2976;13905;
2604144;"Piekoszów - urban area (4)";2976;2976;0;
2604145;"Piekoszów - rural area (5)";13905;0;13905;
2604153;"Pierzchnica (3)";4675;1255;3420;
2604154;"Pierzchnica - urban area (4)";1255;1255;0;
2604155;"Pierzchnica - rural area (5)";3420;0;3420;
2604162;"Raków (2)";5233;0;5233;
2604172;"Nowiny (2)";8149;0;8149;
2604182;"Strawczyn (2)";11230;0;11230;
2604192;"Zagnańsk (2)";12121;0;12121;
2605000;"Powiat konecki";73236;26408;46828;
2605000;"Powiat konecki - URBAN-RURAL GMINAS";59900;26408;33492;
2605012;"Fałków (2)";3906;0;3906;
2605023;"Gowarczów (3)";4381;1320;3061;
2605024;"Gowarczów - urban area (4)";1320;1320;0;
2605025;"Gowarczów - rural area (5)";3061;0;3061;
2605033;"Końskie (3)";32265;17244;15021;
2605034;"Końskie - urban area (4)";17244;17244;0;
2605035;"Końskie - rural area (5)";15021;0;15021;
2605043;"Radoszyce (3)";8076;2792;5284;
2605044;"Radoszyce - urban area (4)";2792;2792;0;
2605045;"Radoszyce - rural area (5)";5284;0;5284;
2605052;"Ruda Maleniecka (2)";2829;0;2829;
2605062;"Słupia Konecka (2)";2932;0;2932;
2605072;"Smyków (2)";3669;0;3669;
2605083;"Stąporków (3)";15178;5052;10126;
2605084;"Stąporków - urban area (4)";5052;5052;0;
2605085;"Stąporków - rural area (5)";10126;0;10126;
2606000;"Powiat opatowski";48144;11253;36891;
2606000;"Powiat opatowski - URBAN-RURAL GMINAS";26790;11253;15537;
2606012;"Baćkowice (2)";4520;0;4520;
2606023;"Iwaniska (3)";6082;1206;4876;
2606024;"Iwaniska - urban area (4)";1206;1206;0;
2606025;"Iwaniska - rural area (5)";4876;0;4876;
2606032;"Lipnik (2)";4786;0;4786;
2606043;"Opatów (3)";10659;5875;4784;
2606044;"Opatów - urban area (4)";5875;5875;0;
2606045;"Opatów - rural area (5)";4784;0;4784;
2606053;"Ożarów (3)";10049;4172;5877;
2606054;"Ożarów - urban area (4)";4172;4172;0;
2606055;"Ożarów - rural area (5)";5877;0;5877;
2606062;"Sadowie (2)";3744;0;3744;
2606072;"Tarłów (2)";4561;0;4561;
2606082;"Wojciechowice (2)";3743;0;3743;
2607000;"Powiat ostrowiecki";99429;67108;32321;
2607000;"Powiat ostrowiecki - URBAN GMINAS";61637;61637;0;
2607000;"Powiat ostrowiecki - URBAN-RURAL GMINAS";15806;5471;10335;
2607011;"Ostrowiec Świętokrzyski (1)";61637;61637;0;
2607022;"Bałtów (2)";3091;0;3091;
2607032;"Bodzechów (2)";12599;0;12599;
2607043;"Ćmielów (3)";6705;2770;3935;
2607044;"Ćmielów - urban area (4)";2770;2770;0;
2607045;"Ćmielów - rural area (5)";3935;0;3935;
2607053;"Kunów (3)";9101;2701;6400;
2607054;"Kunów - urban area (4)";2701;2701;0;
2607055;"Kunów - rural area (5)";6400;0;6400;
2607062;"Waśniów (2)";6296;0;6296;
2608000;"Powiat pińczowski";36509;10458;26051;
2608000;"Powiat pińczowski - URBAN-RURAL GMINAS";23635;10458;13177;
2608013;"Działoszyce (3)";4536;826;3710;
2608014;"Działoszyce - urban area (4)";826;826;0;
2608015;"Działoszyce - rural area (5)";3710;0;3710;
2608022;"Kije (2)";4281;0;4281;
2608032;"Michałów (2)";4379;0;4379;
2608043;"Pińczów (3)";19099;9632;9467;
2608044;"Pińczów - urban area (4)";9632;9632;0;
2608045;"Pińczów - rural area (5)";9467;0;9467;
2608052;"Złota (2)";4214;0;4214;
2609000;"Powiat sandomierski";71362;26802;44560;
2609000;"Powiat sandomierski - URBAN GMINAS";21114;21114;0;
2609000;"Powiat sandomierski - URBAN-RURAL GMINAS";17586;5688;11898;
2609011;"Sandomierz (1)";21114;21114;0;
2609022;"Dwikozy (2)";8108;0;8108;
2609033;"Klimontów (3)";7423;1747;5676;
2609034;"Klimontów - urban area (4)";1747;1747;0;
2609035;"Klimontów - rural area (5)";5676;0;5676;
2609043;"Koprzywnica (3)";6189;2357;3832;
2609044;"Koprzywnica - urban area (4)";2357;2357;0;
2609045;"Koprzywnica - rural area (5)";3832;0;3832;
2609052;"Łoniów (2)";7086;0;7086;
2609062;"Obrazów (2)";6050;0;6050;
2609072;"Samborzec (2)";8016;0;8016;
2609082;"Wilczyce (2)";3402;0;3402;
2609093;"Zawichost (3)";3974;1584;2390;
2609094;"Zawichost - urban area (4)";1584;1584;0;
2609095;"Zawichost - rural area (5)";2390;0;2390;
2610000;"Powiat skarżyski";67647;48328;19319;
2610000;"Powiat skarżyski - URBAN GMINAS";40928;40928;0;
2610000;"Powiat skarżyski - URBAN-RURAL GMINAS";9070;7400;1670;
2610011;"Skarżysko-Kamienna (1)";40928;40928;0;
2610022;"Bliżyn (2)";7414;0;7414;
2610032;"Łączna (2)";4769;0;4769;
2610042;"Skarżysko Kościelne (2)";5466;0;5466;
2610053;"Suchedniów (3)";9070;7400;1670;
2610054;"Suchedniów - urban area (4)";7400;7400;0;
2610055;"Suchedniów - rural area (5)";1670;0;1670;
2611000;"Powiat starachowicki";83109;46478;36631;
2611000;"Powiat starachowicki - URBAN GMINAS";44038;44038;0;
2611000;"Powiat starachowicki - URBAN-RURAL GMINAS";6293;2440;3853;
2611011;"Starachowice (1)";44038;44038;0;
2611022;"Brody (2)";10065;0;10065;
2611032;"Mirzec (2)";7905;0;7905;
2611042;"Pawłów (2)";14808;0;14808;
2611053;"Wąchock (3)";6293;2440;3853;
2611054;"Wąchock - urban area (4)";2440;2440;0;
2611055;"Wąchock - rural area (5)";3853;0;3853;
2612000;"Powiat staszowski";68106;26570;41536;
2612000;"Powiat staszowski - URBAN-RURAL GMINAS";57982;26570;31412;
2612013;"Bogoria (3)";7397;1088;6309;
2612014;"Bogoria - urban area (4)";1088;1088;0;
2612015;"Bogoria - rural area (5)";6309;0;6309;
2612022;"Łubnice (2)";3910;0;3910;
2612033;"Oleśnica (3)";3755;1712;2043;
2612034;"Oleśnica - urban area (4)";1712;1712;0;
2612035;"Oleśnica - rural area (5)";2043;0;2043;
2612043;"Osiek (3)";7313;1962;5351;
2612044;"Osiek - urban area (4)";1962;1962;0;
2612045;"Osiek - rural area (5)";5351;0;5351;
2612053;"Połaniec (3)";10937;7387;3550;
2612054;"Połaniec - urban area (4)";7387;7387;0;
2612055;"Połaniec - rural area (5)";3550;0;3550;
2612062;"Rytwiany (2)";6214;0;6214;
2612073;"Staszów (3)";24246;13463;10783;
2612074;"Staszów - urban area (4)";13463;13463;0;
2612075;"Staszów - rural area (5)";10783;0;10783;
2612083;"Szydłów (3)";4334;958;3376;
2612084;"Szydłów - urban area (4)";958;958;0;
2612085;"Szydłów - rural area (5)";3376;0;3376;
2613000;"Powiat włoszczowski";42740;9467;33273;
2613000;"Powiat włoszczowski - URBAN-RURAL GMINAS";18497;9467;9030;
2613012;"Kluczewsko (2)";4898;0;4898;
2613022;"Krasocin (2)";10050;0;10050;
2613032;"Moskorzew (2)";2516;0;2516;
2613042;"Radków (2)";2266;0;2266;
2613052;"Secemin (2)";4513;0;4513;
2613063;"Włoszczowa (3)";18497;9467;9030;
2613064;"Włoszczowa - urban area (4)";9467;9467;0;
2613065;"Włoszczowa - rural area (5)";9030;0;9030;
2661000;"City with powiat status Kielce";181211;181211;0;
2661000;"City with powiat status Kielce - URBAN GMINAS";181211;181211;0;
2661011;"Kielce (1)";181211;181211;0;
2801000;"Powiat bartoszycki";52308;28801;23507;
2801000;"Powiat bartoszycki - URBAN GMINAS";24787;24787;0;
2801000;"Powiat bartoszycki - URBAN-RURAL GMINAS";11259;4014;7245;
2801011;"Bartoszyce (1)";21180;21180;0;
2801021;"Górowo Iławeckie (1)";3607;3607;0;
2801032;"Bartoszyce (2)";10174;0;10174;
2801043;"Bisztynek (3)";5601;2127;3474;
2801044;"Bisztynek - urban area (4)";2127;2127;0;
2801045;"Bisztynek - rural area (5)";3474;0;3474;
2801052;"Górowo Iławeckie (2)";6088;0;6088;
2801063;"Sępopol (3)";5658;1887;3771;
2801064;"Sępopol - urban area (4)";1887;1887;0;
2801065;"Sępopol - rural area (5)";3771;0;3771;
2802000;"Powiat braniewski";37028;20361;16667;
2802000;"Powiat braniewski - URBAN GMINAS";15968;15968;0;
2802000;"Powiat braniewski - URBAN-RURAL GMINAS";8505;4393;4112;
2802011;"Braniewo (1)";15968;15968;0;
2802022;"Braniewo (2)";5332;0;5332;
2802033;"Frombork (3)";3040;1993;1047;
2802034;"Frombork - urban area (4)";1993;1993;0;
2802035;"Frombork - rural area (5)";1047;0;1047;
2802042;"Lelkowo (2)";2356;0;2356;
2802053;"Pieniężno (3)";5465;2400;3065;
2802054;"Pieniężno - urban area (4)";2400;2400;0;
2802055;"Pieniężno - rural area (5)";3065;0;3065;
2802062;"Płoskinia (2)";2331;0;2331;
2802072;"Wilczęta (2)";2536;0;2536;
2803000;"Powiat działdowski";61171;27152;34019;
2803000;"Powiat działdowski - URBAN GMINAS";20000;20000;0;
2803000;"Powiat działdowski - URBAN-RURAL GMINAS";13111;7152;5959;
2803011;"Działdowo (1)";20000;20000;0;
2803022;"Działdowo (2)";9607;0;9607;
2803032;"Iłowo-Osada (2)";6690;0;6690;
2803043;"Lidzbark (3)";13111;7152;5959;
2803044;"Lidzbark - urban area (4)";7152;7152;0;
2803045;"Lidzbark - rural area (5)";5959;0;5959;
2803052;"Płośnica (2)";5070;0;5070;
2803062;"Rybno (2)";6693;0;6693;
2804000;"Powiat elbląski";53899;15697;38202;
2804000;"Powiat elbląski - URBAN-RURAL GMINAS";28226;15697;12529;
2804012;"Elbląg (2)";7651;0;7651;
2804022;"Godkowo (2)";2698;0;2698;
2804032;"Gronowo Elbląskie (2)";4752;0;4752;
2804042;"Markusy (2)";3860;0;3860;
2804052;"Milejewo (2)";3262;0;3262;
2804063;"Młynary (3)";4124;1664;2460;
2804064;"Młynary - urban area (4)";1664;1664;0;
2804065;"Młynary - rural area (5)";2460;0;2460;
2804073;"Pasłęk (3)";18150;11658;6492;
2804074;"Pasłęk - urban area (4)";11658;11658;0;
2804075;"Pasłęk - rural area (5)";6492;0;6492;
2804082;"Rychliki (2)";3450;0;3450;
2804093;"Tolkmicko (3)";5952;2375;3577;
2804094;"Tolkmicko - urban area (4)";2375;2375;0;
2804095;"Tolkmicko - rural area (5)";3577;0;3577;
2805000;"Powiat ełcki";88189;59463;28726;
2805000;"Powiat ełcki - URBAN GMINAS";59463;59463;0;
2805011;"Ełk (1)";59463;59463;0;
2805022;"Ełk (2)";12649;0;12649;
2805032;"Kalinowo (2)";6110;0;6110;
2805042;"Prostki (2)";6652;0;6652;
2805052;"Stare Juchy (2)";3315;0;3315;
2806000;"Powiat giżycki";53484;29770;23714;
2806000;"Powiat giżycki - URBAN GMINAS";27107;27107;0;
2806000;"Powiat giżycki - URBAN-RURAL GMINAS";5329;2663;2666;
2806011;"Giżycko (1)";27107;27107;0;
2806042;"Giżycko (2)";8972;0;8972;
2806052;"Kruklanki (2)";2905;0;2905;
2806062;"Miłki (2)";3395;0;3395;
2806083;"Ryn (3)";5329;2663;2666;
2806084;"Ryn - urban area (4)";2663;2663;0;
2806085;"Ryn - rural area (5)";2666;0;2666;
2806102;"Wydminy (2)";5776;0;5776;
2807000;"Powiat iławski";89670;51989;37681;
2807000;"Powiat iławski - URBAN GMINAS";42769;42769;0;
2807000;"Powiat iławski - URBAN-RURAL GMINAS";23319;9220;14099;
2807011;"Iława (1)";32106;32106;0;
2807021;"Lubawa (1)";10663;10663;0;
2807032;"Iława (2)";13239;0;13239;
2807043;"Kisielice (3)";5510;1992;3518;
2807044;"Kisielice - urban area (4)";1992;1992;0;
2807045;"Kisielice - rural area (5)";3518;0;3518;
2807052;"Lubawa (2)";10343;0;10343;
2807063;"Susz (3)";11713;5217;6496;
2807064;"Susz - urban area (4)";5217;5217;0;
2807065;"Susz - rural area (5)";6496;0;6496;
2807073;"Zalewo (3)";6096;2011;4085;
2807074;"Zalewo - urban area (4)";2011;2011;0;
2807075;"Zalewo - rural area (5)";4085;0;4085;
2808000;"Powiat kętrzyński";56647;32847;23800;
2808000;"Powiat kętrzyński - URBAN GMINAS";24930;24930;0;
2808000;"Powiat kętrzyński - URBAN-RURAL GMINAS";15216;7917;7299;
2808011;"Kętrzyn (1)";24930;24930;0;
2808022;"Barciany (2)";5572;0;5572;
2808032;"Kętrzyn (2)";7579;0;7579;
2808043;"Korsze (3)";8632;3911;4721;
2808044;"Korsze - urban area (4)";3911;3911;0;
2808045;"Korsze - rural area (5)";4721;0;4721;
2808053;"Reszel (3)";6584;4006;2578;
2808054;"Reszel - urban area (4)";4006;4006;0;
2808055;"Reszel - rural area (5)";2578;0;2578;
2808062;"Srokowo (2)";3350;0;3350;
2809000;"Powiat lidzbarski";37962;22308;15654;
2809000;"Powiat lidzbarski - URBAN GMINAS";14366;14366;0;
2809000;"Powiat lidzbarski - URBAN-RURAL GMINAS";10842;7942;2900;
2809011;"Lidzbark Warmiński (1)";14366;14366;0;
2809022;"Kiwity (2)";3042;0;3042;
2809032;"Lidzbark Warmiński (2)";6430;0;6430;
2809042;"Lubomino (2)";3282;0;3282;
2809053;"Orneta (3)";10842;7942;2900;
2809054;"Orneta - urban area (4)";7942;7942;0;
2809055;"Orneta - rural area (5)";2900;0;2900;
2810000;"Powiat mrągowski";47266;23737;23529;
2810000;"Powiat mrągowski - URBAN GMINAS";20399;20399;0;
2810000;"Powiat mrągowski - URBAN-RURAL GMINAS";7293;3338;3955;
2810011;"Mrągowo (1)";20399;20399;0;
2810023;"Mikołajki (3)";7293;3338;3955;
2810024;"Mikołajki - urban area (4)";3338;3338;0;
2810025;"Mikołajki - rural area (5)";3955;0;3955;
2810032;"Mrągowo (2)";8078;0;8078;
2810042;"Piecki (2)";7120;0;7120;
2810052;"Sorkwity (2)";4376;0;4376;
2811000;"Powiat nidzicki";30323;12532;17791;
2811000;"Powiat nidzicki - URBAN-RURAL GMINAS";19633;12532;7101;
2811012;"Janowiec Kościelny (2)";2908;0;2908;
2811022;"Janowo (2)";2497;0;2497;
2811032;"Kozłowo (2)";5285;0;5285;
2811043;"Nidzica (3)";19633;12532;7101;
2811044;"Nidzica - urban area (4)";12532;12532;0;
2811045;"Nidzica - rural area (5)";7101;0;7101;
2812000;"Powiat nowomiejski";41829;10058;31771;
2812000;"Powiat nowomiejski - URBAN GMINAS";10058;10058;0;
2812011;"Nowe Miasto Lubawskie (1)";10058;10058;0;
2812022;"Biskupiec (2)";8533;0;8533;
2812032;"Grodziczno (2)";5832;0;5832;
2812042;"Kurzętnik (2)";8968;0;8968;
2812052;"Nowe Miasto Lubawskie (2)";8438;0;8438;
2813000;"Powiat olecki";31863;15617;16246;
2813000;"Powiat olecki - URBAN-RURAL GMINAS";20871;15617;5254;
2813032;"Kowale Oleckie (2)";4525;0;4525;
2813043;"Olecko (3)";20871;15617;5254;
2813044;"Olecko - urban area (4)";15617;15617;0;
2813045;"Olecko - rural area (5)";5254;0;5254;
2813052;"Świętajno (2)";3293;0;3293;
2813062;"Wieliczki (2)";3174;0;3174;
2814000;"Powiat olsztyński";130299;36564;93735;
2814000;"Powiat olsztyński - URBAN-RURAL GMINAS";70930;36564;34366;
2814013;"Barczewo (3)";18327;7356;10971;
2814014;"Barczewo - urban area (4)";7356;7356;0;
2814015;"Barczewo - rural area (5)";10971;0;10971;
2814023;"Biskupiec (3)";17665;9891;7774;
2814024;"Biskupiec - urban area (4)";9891;9891;0;
2814025;"Biskupiec - rural area (5)";7774;0;7774;
2814033;"Dobre Miasto (3)";14971;9256;5715;
2814034;"Dobre Miasto - urban area (4)";9256;9256;0;
2814035;"Dobre Miasto - rural area (5)";5715;0;5715;
2814042;"Dywity (2)";13844;0;13844;
2814052;"Gietrzwałd (2)";6982;0;6982;
2814063;"Jeziorany (3)";6887;2914;3973;
2814064;"Jeziorany - urban area (4)";2914;2914;0;
2814065;"Jeziorany - rural area (5)";3973;0;3973;
2814072;"Jonkowo (2)";7904;0;7904;
2814082;"Kolno (2)";2732;0;2732;
2814093;"Olsztynek (3)";13080;7147;5933;
2814094;"Olsztynek - urban area (4)";7147;7147;0;
2814095;"Olsztynek - rural area (5)";5933;0;5933;
2814102;"Purda (2)";9000;0;9000;
2814112;"Stawiguda (2)";15207;0;15207;
2814122;"Świątki (2)";3700;0;3700;
2815000;"Powiat ostródzki";98667;48691;49976;
2815000;"Powiat ostródzki - URBAN GMINAS";31243;31243;0;
2815000;"Powiat ostródzki - URBAN-RURAL GMINAS";32540;17448;15092;
2815011;"Ostróda (1)";31243;31243;0;
2815022;"Dąbrówno (2)";3856;0;3856;
2815032;"Grunwald (2)";5029;0;5029;
2815042;"Łukta (2)";4358;0;4358;
2815052;"Małdyty (2)";5720;0;5720;
2815063;"Miłakowo (3)";4903;2385;2518;
2815064;"Miłakowo - urban area (4)";2385;2385;0;
2815065;"Miłakowo - rural area (5)";2518;0;2518;
2815073;"Miłomłyn (3)";4742;2409;2333;
2815074;"Miłomłyn - urban area (4)";2409;2409;0;
2815075;"Miłomłyn - rural area (5)";2333;0;2333;
2815083;"Morąg (3)";22895;12654;10241;
2815084;"Morąg - urban area (4)";12654;12654;0;
2815085;"Morąg - rural area (5)";10241;0;10241;
2815092;"Ostróda (2)";15921;0;15921;
2816000;"Powiat piski";51796;30471;21325;
2816000;"Powiat piski - URBAN-RURAL GMINAS";51796;30471;21325;
2816013;"Biała Piska (3)";10336;3658;6678;
2816014;"Biała Piska - urban area (4)";3658;3658;0;
2816015;"Biała Piska - rural area (5)";6678;0;6678;
2816023;"Orzysz (3)";8328;5235;3093;
2816024;"Orzysz - urban area (4)";5235;5235;0;
2816025;"Orzysz - rural area (5)";3093;0;3093;
2816033;"Pisz (3)";25854;17531;8323;
2816034;"Pisz - urban area (4)";17531;17531;0;
2816035;"Pisz - rural area (5)";8323;0;8323;
2816043;"Ruciane-Nida (3)";7278;4047;3231;
2816044;"Ruciane-Nida - urban area (4)";4047;4047;0;
2816045;"Ruciane-Nida - rural area (5)";3231;0;3231;
2817000;"Powiat szczycieński";66390;27117;39273;
2817000;"Powiat szczycieński - URBAN GMINAS";21749;21749;0;
2817000;"Powiat szczycieński - URBAN-RURAL GMINAS";11277;5368;5909;
2817011;"Szczytno (1)";21749;21749;0;
2817022;"Dźwierzuty (2)";5812;0;5812;
2817032;"Jedwabno (2)";3439;0;3439;
2817043;"Pasym (3)";5052;2390;2662;
2817044;"Pasym - urban area (4)";2390;2390;0;
2817045;"Pasym - rural area (5)";2662;0;2662;
2817052;"Rozogi (2)";5161;0;5161;
2817062;"Szczytno (2)";13646;0;13646;
2817072;"Świętajno (2)";5306;0;5306;
2817083;"Wielbark (3)";6225;2978;3247;
2817084;"Wielbark - urban area (4)";2978;2978;0;
2817085;"Wielbark - rural area (5)";3247;0;3247;
2818000;"Powiat gołdapski";24738;13148;11590;
2818000;"Powiat gołdapski - URBAN-RURAL GMINAS";18961;13148;5813;
2818012;"Banie Mazurskie (2)";3170;0;3170;
2818022;"Dubeninki (2)";2607;0;2607;
2818033;"Gołdap (3)";18961;13148;5813;
2818034;"Gołdap - urban area (4)";13148;13148;0;
2818035;"Gołdap - rural area (5)";5813;0;5813;
2819000;"Powiat węgorzewski";20703;10488;10215;
2819000;"Powiat węgorzewski - URBAN-RURAL GMINAS";15213;10488;4725;
2819012;"Budry (2)";2524;0;2524;
2819022;"Pozezdrze (2)";2966;0;2966;
2819033;"Węgorzewo (3)";15213;10488;4725;
2819034;"Węgorzewo - urban area (4)";10488;10488;0;
2819035;"Węgorzewo - rural area (5)";4725;0;4725;
2861000;"City with powiat status Elbląg";112445;112445;0;
2861000;"City with powiat status Elbląg - URBAN GMINAS";112445;112445;0;
2861011;"Elbląg (1)";112445;112445;0;
2862000;"City with powiat status Olsztyn";166697;166697;0;
2862000;"City with powiat status Olsztyn - URBAN GMINAS";166697;166697;0;
2862011;"Olsztyn (1)";166697;166697;0;
3001000;"Powiat chodzieski";45051;28681;16370;
3001000;"Powiat chodzieski - URBAN GMINAS";17173;17173;0;
3001000;"Powiat chodzieski - URBAN-RURAL GMINAS";21714;11508;10206;
3001011;"Chodzież (1)";17173;17173;0;
3001023;"Budzyń (3)";8289;4668;3621;
3001024;"Budzyń - urban area (4)";4668;4668;0;
3001025;"Budzyń - rural area (5)";3621;0;3621;
3001032;"Chodzież (2)";6164;0;6164;
3001043;"Margonin (3)";6291;2952;3339;
3001044;"Margonin - urban area (4)";2952;2952;0;
3001045;"Margonin - rural area (5)";3339;0;3339;
3001053;"Szamocin (3)";7134;3888;3246;
3001054;"Szamocin - urban area (4)";3888;3888;0;
3001055;"Szamocin - rural area (5)";3246;0;3246;
3002000;"Powiat czarnkowsko-trzcianecki";83182;37712;45470;
3002000;"Powiat czarnkowsko-trzcianecki - URBAN GMINAS";9838;9838;0;
3002000;"Powiat czarnkowsko-trzcianecki - URBAN-RURAL GMINAS";43159;27874;15285;
3002011;"Czarnków (1)";9838;9838;0;
3002022;"Czarnków (2)";11167;0;11167;
3002032;"Drawsko (2)";5537;0;5537;
3002043;"Krzyż Wielkopolski (3)";8194;5856;2338;
3002044;"Krzyż Wielkopolski - urban area (4)";5856;5856;0;
3002045;"Krzyż Wielkopolski - rural area (5)";2338;0;2338;
3002052;"Lubasz (2)";7523;0;7523;
3002062;"Połajewo (2)";5958;0;5958;
3002073;"Trzcianka (3)";23361;16389;6972;
3002074;"Trzcianka - urban area (4)";16389;16389;0;
3002075;"Trzcianka - rural area (5)";6972;0;6972;
3002083;"Wieleń (3)";11604;5629;5975;
3002084;"Wieleń - urban area (4)";5629;5629;0;
3002085;"Wieleń - rural area (5)";5975;0;5975;
3003000;"Powiat gnieźnieński";140979;82839;58140;
3003000;"Powiat gnieźnieński - URBAN GMINAS";63143;63143;0;
3003000;"Powiat gnieźnieński - URBAN-RURAL GMINAS";40984;19696;21288;
3003011;"Gniezno (1)";63143;63143;0;
3003023;"Czerniejewo (3)";7237;2554;4683;
3003024;"Czerniejewo - urban area (4)";2554;2554;0;
3003025;"Czerniejewo - rural area (5)";4683;0;4683;
3003032;"Gniezno (2)";14786;0;14786;
3003042;"Kiszkowo (2)";5123;0;5123;
3003053;"Kłecko (3)";7084;2496;4588;
3003054;"Kłecko - urban area (4)";2496;2496;0;
3003055;"Kłecko - rural area (5)";4588;0;4588;
3003062;"Łubowo (2)";7381;0;7381;
3003072;"Mieleszyn (2)";3631;0;3631;
3003082;"Niechanowo (2)";5931;0;5931;
3003093;"Trzemeszno (3)";13666;7247;6419;
3003094;"Trzemeszno - urban area (4)";7247;7247;0;
3003095;"Trzemeszno - rural area (5)";6419;0;6419;
3003103;"Witkowo (3)";12997;7399;5598;
3003104;"Witkowo - urban area (4)";7399;7399;0;
3003105;"Witkowo - rural area (5)";5598;0;5598;
3004000;"Powiat gostyński";73223;31642;41581;
3004000;"Powiat gostyński - URBAN-RURAL GMINAS";59336;31642;27694;
3004013;"Borek Wielkopolski (3)";6993;2428;4565;
3004014;"Borek Wielkopolski - urban area (4)";2428;2428;0;
3004015;"Borek Wielkopolski - rural area (5)";4565;0;4565;
3004023;"Gostyń (3)";27702;19748;7954;
3004024;"Gostyń - urban area (4)";19748;19748;0;
3004025;"Gostyń - rural area (5)";7954;0;7954;
3004033;"Krobia (3)";12554;4529;8025;
3004034;"Krobia - urban area (4)";4529;4529;0;
3004035;"Krobia - rural area (5)";8025;0;8025;
3004042;"Pępowo (2)";5704;0;5704;
3004052;"Piaski (2)";8183;0;8183;
3004063;"Pogorzela (3)";4659;2027;2632;
3004064;"Pogorzela - urban area (4)";2027;2027;0;
3004065;"Pogorzela - rural area (5)";2632;0;2632;
3004073;"Poniec (3)";7428;2910;4518;
3004074;"Poniec - urban area (4)";2910;2910;0;
3004075;"Poniec - rural area (5)";4518;0;4518;
3005000;"Powiat grodziski";51489;20329;31160;
3005000;"Powiat grodziski - URBAN-RURAL GMINAS";40243;20329;19914;
3005012;"Granowo (2)";5049;0;5049;
3005023;"Grodzisk Wielkopolski (3)";20355;15104;5251;
3005024;"Grodzisk Wielkopolski - urban area (4)";15104;15104;0;
3005025;"Grodzisk Wielkopolski - rural area (5)";5251;0;5251;
3005032;"Kamieniec (2)";6197;0;6197;
3005043;"Rakoniewice (3)";13241;3582;9659;
3005044;"Rakoniewice - urban area (4)";3582;3582;0;
3005045;"Rakoniewice - rural area (5)";9659;0;9659;
3005053;"Wielichowo (3)";6647;1643;5004;
3005054;"Wielichowo - urban area (4)";1643;1643;0;
3005055;"Wielichowo - rural area (5)";5004;0;5004;
