"Code";"Name";"registrations of departure, total;total;2021;[person]";"registrations of departure, total;total;2022;[person]";"registrations of departure, total;total;2023;[person]";
1012054;"Kamieńsk - urban area (4)";41;39;40;
1012055;"Kamieńsk - rural area (5)";36;37;48;
1012062;"Kobiele Wielkie (2)";27;42;31;
1012072;"Kodrąb (2)";53;68;55;
1012082;"Lgota Wielka (2)";39;51;74;
1012092;"Ładzice (2)";44;56;42;
1012102;"Masłowice (2)";39;51;43;
1012113;"Przedbórz (3)";88;116;92;
1012114;"Przedbórz - urban area (4)";54;72;53;
1012115;"Przedbórz - rural area (5)";34;44;39;
1012122;"Radomsko (2)";54;58;49;
1012132;"Wielgomłyny (2)";39;37;50;
1012142;"Żytno (2)";58;49;43;
1013000;"Powiat rawski";529;504;553;
1013011;"Rawa Mazowiecka (1)";206;188;237;
1013023;"Biała Rawska (3)";133;139;109;
1013024;"Biała Rawska - urban area (4)";51;40;44;
1013025;"Biała Rawska - rural area (5)";82;99;65;
1013032;"Cielądz (2)";29;30;43;
1013042;"Rawa Mazowiecka (2)";74;75;83;
1013052;"Regnów (2)";26;18;20;
1013062;"Sadkowice (2)";61;54;61;
1014000;"Powiat sieradzki";1435;1382;1259;
1014011;"Sieradz (1)";565;563;480;
1014023;"Błaszki (3)";151;178;157;
1014024;"Błaszki - urban area (4)";42;38;34;
1014025;"Błaszki - rural area (5)";109;140;123;
1014032;"Brąszewice (2)";45;54;39;
1014042;"Brzeźnio (2)";62;46;52;
1014052;"Burzenin (2)";96;41;66;
1014062;"Goszczanów (2)";60;58;63;
1014072;"Klonowa (2)";53;29;35;
1014082;"Sieradz (2)";87;118;108;
1014093;"Warta (3)";163;126;115;
1014094;"Warta - urban area (4)";49;33;38;
1014095;"Warta - rural area (5)";114;93;77;
1014102;"Wróblew (2)";59;61;46;
1014113;"Złoczew (3)";94;108;98;
1014114;"Złoczew - urban area (4)";50;37;48;
1014115;"Złoczew - rural area (5)";44;71;50;
1015000;"Powiat skierniewicki";406;360;314;
1015012;"Bolimów (2)";39;;;
1015013;"Bolimów (3)";;54;26;
1015014;"Bolimów - urban area (4)";;15;4;
1015015;"Bolimów - rural area (5)";;39;22;
1015022;"Głuchów (2)";51;61;44;
1015032;"Godzianów (2)";21;37;16;
1015042;"Kowiesy (2)";23;28;28;
1015052;"Lipce Reymontowskie (2)";40;32;16;
1015062;"Maków (2)";42;42;51;
1015072;"Nowy Kawęczyn (2)";38;31;31;
1015082;"Skierniewice (2)";109;51;85;
1015092;"Słupia (2)";43;24;17;
1016000;"Powiat tomaszowski";1101;1072;1079;
1016011;"Tomaszów Mazowiecki (1)";608;600;581;
1016022;"Będków (2)";25;19;12;
1016032;"Budziszewice (2)";14;18;20;
1016042;"Czerniewice (2)";48;49;44;
1016052;"Inowłódz (2)";30;24;42;
1016062;"Lubochnia (2)";65;68;76;
1016072;"Rokiciny (2)";42;54;47;
1016082;"Rzeczyca (2)";46;44;49;
1016092;"Tomaszów Mazowiecki (2)";106;101;108;
1016102;"Ujazd (2)";81;59;;
1016103;"Ujazd (3)";;;73;
1016104;"Ujazd - urban area (4)";;;17;
1016105;"Ujazd - rural area (5)";;;56;
1016112;"Żelechlinek (2)";36;36;27;
1017000;"Powiat wieluński";948;868;910;
1017012;"Biała (2)";61;59;45;
1017022;"Czarnożyły (2)";44;41;31;
1017032;"Konopnica (2)";47;35;43;
1017042;"Mokrsko (2)";60;46;60;
1017052;"Osjaków (2)";37;50;27;
1017062;"Ostrówek (2)";46;42;53;
1017072;"Pątnów (2)";72;76;78;
1017082;"Skomlin (2)";31;35;32;
1017093;"Wieluń (3)";477;417;485;
1017094;"Wieluń - urban area (4)";340;325;369;
1017095;"Wieluń - rural area (5)";137;92;116;
1017102;"Wierzchlas (2)";73;67;56;
1018000;"Powiat wieruszowski";491;457;453;
1018012;"Bolesławiec (2)";37;30;45;
1018022;"Czastary (2)";44;36;27;
1018032;"Galewice (2)";66;54;56;
1018043;"Lututów (3)";59;67;72;
1018044;"Lututów - urban area (4)";36;40;34;
1018045;"Lututów - rural area (5)";23;27;38;
1018052;"Łubnice (2)";42;34;22;
1018062;"Sokolniki (2)";60;39;47;
1018073;"Wieruszów (3)";183;197;184;
1018074;"Wieruszów - urban area (4)";110;130;109;
1018075;"Wieruszów - rural area (5)";73;67;75;
1019000;"Powiat zduńskowolski";659;705;623;
1019011;"Zduńska Wola (1)";448;481;408;
1019023;"Szadek (3)";63;68;69;
1019024;"Szadek - urban area (4)";18;25;18;
1019025;"Szadek - rural area (5)";45;43;51;
1019032;"Zapolice (2)";38;50;48;
1019042;"Zduńska Wola (2)";110;106;98;
1020000;"Powiat zgierski";1782;1659;1622;
1020011;"Głowno (1)";131;99;123;
1020021;"Ozorków (1)";215;168;159;
1020031;"Zgierz (1)";561;517;527;
1020043;"Aleksandrów Łódzki (3)";409;385;310;
1020044;"Aleksandrów Łódzki - urban area (4)";255;263;194;
1020045;"Aleksandrów Łódzki - rural area (5)";154;122;116;
1020052;"Głowno (2)";42;47;60;
1020062;"Ozorków (2)";67;70;91;
1020072;"Parzęczew (2)";80;57;57;
1020083;"Stryków (3)";120;139;125;
1020084;"Stryków - urban area (4)";38;42;46;
1020085;"Stryków - rural area (5)";82;97;79;
1020092;"Zgierz (2)";157;177;170;
1021000;"Powiat brzeziński";299;278;289;
1021011;"Brzeziny (1)";118;110;96;
1021022;"Brzeziny (2)";61;56;55;
1021032;"Dmosin (2)";44;36;45;
1021042;"Jeżów (2)";38;34;;
1021043;"Jeżów (3)";;;37;
1021044;"Jeżów - urban area (4)";;;12;
1021045;"Jeżów - rural area (5)";;;25;
1021052;"Rogów (2)";38;42;56;
1061000;"City with powiat status Łódź";5149;4884;5043;
1061011;"Łódź (1)";5149;4884;5043;
1062000;"City with powiat status Piotrków Trybunalski";792;845;717;
1062011;"Piotrków Trybunalski (1)";792;845;717;
1063000;"City with powiat status Skierniewice";455;426;411;
1063011;"Skierniewice (1)";455;426;411;
1200000;"MAŁOPOLSKIE";33398;33074;31756;
1201000;"Powiat bocheński";969;967;1045;
1201011;"Bochnia (1)";354;329;375;
1201022;"Bochnia (2)";157;153;126;
1201032;"Drwinia (2)";46;41;49;
1201042;"Lipnica Murowana (2)";47;63;74;
1201052;"Łapanów (2)";58;48;53;
1201063;"Nowy Wiśnicz (3)";127;142;162;
1201064;"Nowy Wiśnicz - urban area (4)";32;39;51;
1201065;"Nowy Wiśnicz - rural area (5)";95;103;111;
1201072;"Rzezawa (2)";87;91;107;
1201082;"Trzciana (2)";50;40;53;
1201092;"Żegocina (2)";43;60;46;
1202000;"Powiat brzeski";908;880;823;
1202012;"Borzęcin (2)";55;75;75;
1202023;"Brzesko (3)";368;336;344;
1202024;"Brzesko - urban area (4)";186;177;189;
1202025;"Brzesko - rural area (5)";182;159;155;
1202033;"Czchów (3)";147;146;110;
1202034;"Czchów - urban area (4)";48;41;43;
1202035;"Czchów - rural area (5)";99;105;67;
1202042;"Dębno (2)";111;127;109;
1202052;"Gnojnik (2)";79;69;70;
1202062;"Iwkowa (2)";59;59;44;
1202072;"Szczurowa (2)";89;68;71;
1203000;"Powiat chrzanowski";1227;1207;1233;
1203013;"Alwernia (3)";150;115;117;
1203014;"Alwernia - urban area (4)";48;46;51;
1203015;"Alwernia - rural area (5)";102;69;66;
1203022;"Babice (2)";75;81;64;
1203033;"Chrzanów (3)";488;450;519;
1203034;"Chrzanów - urban area (4)";412;354;423;
1203035;"Chrzanów - rural area (5)";76;96;96;
1203043;"Libiąż (3)";174;244;231;
1203044;"Libiąż - urban area (4)";134;196;177;
1203045;"Libiąż - rural area (5)";40;48;54;
1203053;"Trzebinia (3)";340;317;302;
1203054;"Trzebinia - urban area (4)";203;199;179;
1203055;"Trzebinia - rural area (5)";137;118;123;
1204000;"Powiat dąbrowski";585;532;502;
1204012;"Bolesław (2)";24;18;24;
1204023;"Dąbrowa Tarnowska (3)";188;195;175;
1204024;"Dąbrowa Tarnowska - urban area (4)";108;110;114;
1204025;"Dąbrowa Tarnowska - rural area (5)";80;85;61;
1204032;"Gręboszów (2)";38;37;21;
1204042;"Mędrzechów (2)";33;39;31;
1204052;"Olesno (2)";87;82;57;
1204062;"Radgoszcz (2)";66;52;58;
1204073;"Szczucin (3)";149;109;136;
1204074;"Szczucin - urban area (4)";63;31;29;
1204075;"Szczucin - rural area (5)";86;78;107;
1205000;"Powiat gorlicki";1097;1189;1062;
1205011;"Gorlice (1)";343;291;308;
1205023;"Biecz (3)";158;187;135;
1205024;"Biecz - urban area (4)";44;46;33;
1205025;"Biecz - rural area (5)";114;141;102;
1205033;"Bobowa (3)";124;140;105;
1205034;"Bobowa - urban area (4)";56;54;50;
1205035;"Bobowa - rural area (5)";68;86;55;
1205042;"Gorlice (2)";146;173;141;
1205052;"Lipinki (2)";58;64;62;
1205062;"Łużna (2)";47;85;79;
1205072;"Moszczenica (2)";52;45;49;
1205082;"Ropa (2)";55;58;50;
1205092;"Sękowa (2)";54;62;42;
1205102;"Uście Gorlickie (2)";60;84;91;
1206000;"Powiat krakowski";2544;2482;2620;
1206012;"Czernichów (2)";123;98;116;
1206022;"Igołomia-Wawrzeńczyce (2)";58;49;55;
1206032;"Iwanowice (2)";64;76;76;
1206042;"Jerzmanowice-Przeginia (2)";90;72;106;
1206052;"Kocmyrzów-Luborzyca (2)";125;140;130;
1206063;"Krzeszowice (3)";277;284;233;
1206064;"Krzeszowice - urban area (4)";110;101;93;
1206065;"Krzeszowice - rural area (5)";167;183;140;
1206072;"Liszki (2)";129;125;124;
1206082;"Michałowice (2)";104;99;126;
1206092;"Mogilany (2)";162;152;167;
1206103;"Skała (3)";89;94;68;
1206104;"Skała - urban area (4)";29;24;15;
1206105;"Skała - rural area (5)";60;70;53;
1206113;"Skawina (3)";409;406;401;
1206114;"Skawina - urban area (4)";266;262;279;
1206115;"Skawina - rural area (5)";143;144;122;
1206123;"Słomniki (3)";118;128;128;
1206124;"Słomniki - urban area (4)";49;39;40;
1206125;"Słomniki - rural area (5)";69;89;88;
1206132;"Sułoszowa (2)";58;40;56;
1206143;"Świątniki Górne (3)";56;96;104;
1206144;"Świątniki Górne - urban area (4)";15;35;36;
1206145;"Świątniki Górne - rural area (5)";41;61;68;
1206152;"Wielka Wieś (2)";144;114;135;
1206162;"Zabierzów (2)";206;216;263;
1206172;"Zielonki (2)";332;293;332;
1207000;"Powiat limanowski";1261;1326;1161;
1207011;"Limanowa (1)";212;225;161;
1207021;"Mszana Dolna (1)";81;73;74;
1207032;"Dobra (2)";98;86;119;
1207042;"Jodłownik (2)";73;72;62;
1207052;"Kamienica (2)";42;90;90;
1207062;"Laskowa (2)";72;74;78;
1207072;"Limanowa (2)";217;224;187;
1207082;"Łukowica (2)";75;109;86;
1207092;"Mszana Dolna (2)";155;154;129;
1207102;"Niedźwiedź (2)";72;57;69;
1207112;"Słopnice (2)";88;63;34;
1207122;"Tymbark (2)";76;99;72;
1208000;"Powiat miechowski";505;434;406;
1208012;"Charsznica (2)";60;50;42;
1208022;"Gołcza (2)";57;34;65;
1208032;"Kozłów (2)";45;37;34;
1208042;"Książ Wielki (2)";52;51;;
1208043;"Książ Wielki (3)";;;49;
1208044;"Książ Wielki - urban area (4)";;;12;
1208045;"Książ Wielki - rural area (5)";;;37;
1208053;"Miechów (3)";244;186;185;
1208054;"Miechów - urban area (4)";137;123;128;
1208055;"Miechów - rural area (5)";107;63;57;
1208062;"Racławice (2)";20;32;10;
1208072;"Słaboszów (2)";27;44;21;
1209000;"Powiat myślenicki";1171;1265;1077;
1209013;"Dobczyce (3)";164;165;147;
1209014;"Dobczyce - urban area (4)";78;86;72;
1209015;"Dobczyce - rural area (5)";86;79;75;
1209022;"Lubień (2)";110;124;97;
1209033;"Myślenice (3)";390;442;379;
1209034;"Myślenice - urban area (4)";206;252;189;
1209035;"Myślenice - rural area (5)";184;190;190;
1209042;"Pcim (2)";117;118;90;
1209052;"Raciechowice (2)";72;50;53;
1209062;"Siepraw (2)";51;68;66;
1209073;"Sułkowice (3)";126;147;127;
1209074;"Sułkowice - urban area (4)";78;63;76;
1209075;"Sułkowice - rural area (5)";48;84;51;
1209082;"Tokarnia (2)";76;85;62;
1209092;"Wiśniowa (2)";65;66;56;
1210000;"Powiat nowosądecki";2226;2286;2160;
1210011;"Grybów (1)";63;86;65;
1210022;"Chełmiec (2)";304;339;302;
1210032;"Gródek nad Dunajcem (2)";94;85;82;
1210042;"Grybów (2)";222;220;208;
1210052;"Kamionka Wielka (2)";118;108;95;
1210062;"Korzenna (2)";144;142;118;
1210073;"Krynica-Zdrój (3)";223;252;216;
1210074;"Krynica-Zdrój - urban area (4)";162;194;147;
1210075;"Krynica-Zdrój - rural area (5)";61;58;69;
1210082;"Łabowa (2)";68;65;51;
1210092;"Łącko (2)";122;110;163;
1210102;"Łososina Dolna (2)";86;95;72;
1210113;"Muszyna (3)";117;156;122;
1210114;"Muszyna - urban area (4)";51;69;37;
1210115;"Muszyna - rural area (5)";66;87;85;
1210122;"Nawojowa (2)";97;78;102;
1210133;"Piwniczna-Zdrój (3)";133;142;128;
1210134;"Piwniczna-Zdrój - urban area (4)";83;84;80;
1210135;"Piwniczna-Zdrój - rural area (5)";50;58;48;
1210142;"Podegrodzie (2)";119;106;104;
1210152;"Rytro (2)";43;54;39;
1210163;"Stary Sącz (3)";273;248;293;
1210164;"Stary Sącz - urban area (4)";134;109;101;
1210165;"Stary Sącz - rural area (5)";139;139;192;
1211000;"Powiat nowotarski";1627;1695;1513;
1211011;"Nowy Targ (1)";292;288;283;
1211023;"Szczawnica (3)";72;83;100;
1211024;"Szczawnica - urban area (4)";52;65;80;
1211025;"Szczawnica - rural area (5)";20;18;20;
1211032;"Czarny Dunajec (2)";183;176;;
1211033;"Czarny Dunajec (3)";;;164;
1211034;"Czarny Dunajec - urban area (4)";;;45;
1211035;"Czarny Dunajec - rural area (5)";;;119;
1211042;"Czorsztyn (2)";61;48;47;
1211052;"Jabłonka (2)";141;108;124;
1211062;"Krościenko nad Dunajcem (2)";81;71;63;
1211072;"Lipnica Wielka (2)";103;108;70;
1211082;"Łapsze Niżne (2)";64;62;45;
1211092;"Nowy Targ (2)";189;218;170;
1211102;"Ochotnica Dolna (2)";64;62;46;
1211112;"Raba Wyżna (2)";123;138;101;
1211123;"Rabka-Zdrój (3)";157;193;182;
1211124;"Rabka-Zdrój - urban area (4)";114;143;123;
1211125;"Rabka-Zdrój - rural area (5)";43;50;59;
1211132;"Spytkowice (2)";36;33;36;
1211142;"Szaflary (2)";61;107;82;
1212000;"Powiat olkuski";1254;1153;1149;
1212011;"Bukowno (1)";95;85;112;
1212032;"Bolesław (2)";78;80;49;
1212042;"Klucze (2)";128;156;129;
1212053;"Olkusz (3)";658;560;594;
1212054;"Olkusz - urban area (4)";540;440;479;
1212055;"Olkusz - rural area (5)";118;120;115;
1212062;"Trzyciąż (2)";69;50;44;
1212073;"Wolbrom (3)";226;222;221;
1212074;"Wolbrom - urban area (4)";120;101;104;
1212075;"Wolbrom - rural area (5)";106;121;117;
1213000;"Powiat oświęcimski";1683;1675;1520;
1213011;"Oświęcim (1)";446;481;398;
1213023;"Brzeszcze (3)";271;272;272;
1213024;"Brzeszcze - urban area (4)";163;148;142;
1213025;"Brzeszcze - rural area (5)";108;124;130;
1213033;"Chełmek (3)";127;131;127;
1213034;"Chełmek - urban area (4)";99;91;91;
1213035;"Chełmek - rural area (5)";28;40;36;
1213043;"Kęty (3)";380;347;341;
1213044;"Kęty - urban area (4)";264;212;224;
1213045;"Kęty - rural area (5)";116;135;117;
1213052;"Osiek (2)";74;71;48;
1213062;"Oświęcim (2)";178;187;167;
1213072;"Polanka Wielka (2)";48;37;35;
1213082;"Przeciszów (2)";66;75;45;
1213093;"Zator (3)";93;74;87;
1213094;"Zator - urban area (4)";44;25;38;
1213095;"Zator - rural area (5)";49;49;49;
1214000;"Powiat proszowicki";416;412;337;
1214012;"Koniusza (2)";68;78;56;
1214023;"Koszyce (3)";70;35;33;
1214024;"Koszyce - urban area (4)";16;4;6;
1214025;"Koszyce - rural area (5)";54;31;27;
1214033;"Nowe Brzesko (3)";47;37;40;
1214034;"Nowe Brzesko - urban area (4)";18;8;12;
1214035;"Nowe Brzesko - rural area (5)";29;29;28;
1214042;"Pałecznica (2)";41;39;31;
1214053;"Proszowice (3)";166;196;144;
1214054;"Proszowice - urban area (4)";85;105;71;
1214055;"Proszowice - rural area (5)";81;91;73;
1214062;"Radziemice (2)";24;27;33;
1215000;"Powiat suski";763;811;690;
1215011;"Jordanów (1)";67;59;70;
1215021;"Sucha Beskidzka (1)";89;112;79;
1215032;"Budzów (2)";82;57;61;
1215042;"Bystra-Sidzina (2)";43;40;46;
1215052;"Jordanów (2)";80;110;93;
1215063;"Maków Podhalański (3)";147;156;116;
1215064;"Maków Podhalański - urban area (4)";57;56;46;
1215065;"Maków Podhalański - rural area (5)";90;100;70;
1215072;"Stryszawa (2)";111;127;103;
1215082;"Zawoja (2)";74;95;66;
1215092;"Zembrzyce (2)";70;55;56;
1216000;"Powiat tarnowski";2102;1982;1951;
1216013;"Ciężkowice (3)";145;131;110;
1216014;"Ciężkowice - urban area (4)";32;32;26;
1216015;"Ciężkowice - rural area (5)";113;99;84;
1216022;"Gromnik (2)";92;56;65;
1216032;"Lisia Góra (2)";155;147;104;
1216042;"Pleśna (2)";152;106;106;
1216053;"Radłów (3)";91;87;79;
1216054;"Radłów - urban area (4)";36;16;24;
1216055;"Radłów - rural area (5)";55;71;55;
1216063;"Ryglice (3)";99;117;112;
1216064;"Ryglice - urban area (4)";24;33;38;
1216065;"Ryglice - rural area (5)";75;84;74;
1216072;"Rzepiennik Strzyżewski (2)";65;72;95;
1216082;"Skrzyszów (2)";123;140;139;
1216092;"Tarnów (2)";249;282;230;
1216103;"Tuchów (3)";253;192;187;
1216104;"Tuchów - urban area (4)";91;81;94;
1216105;"Tuchów - rural area (5)";162;111;93;
1216112;"Wierzchosławice (2)";83;113;114;
1216122;"Wietrzychowice (2)";31;25;31;
1216133;"Wojnicz (3)";159;134;149;
1216134;"Wojnicz - urban area (4)";45;36;26;
1216135;"Wojnicz - rural area (5)";114;98;123;
1216143;"Zakliczyn (3)";115;138;154;
1216144;"Zakliczyn - urban area (4)";29;31;24;
1216145;"Zakliczyn - rural area (5)";86;107;130;
1216153;"Żabno (3)";207;176;181;
1216154;"Żabno - urban area (4)";46;60;37;
1216155;"Żabno - rural area (5)";161;116;144;
1216162;"Szerzyny (2)";83;66;95;
1217000;"Powiat tatrzański";672;573;610;
1217011;"Zakopane (1)";285;263;271;
1217022;"Biały Dunajec (2)";82;45;68;
1217032;"Bukowina Tatrzańska (2)";89;90;75;
1217042;"Kościelisko (2)";99;84;87;
1217052;"Poronin (2)";117;91;109;
1218000;"Powiat wadowicki";1591;1526;1497;
1218013;"Andrychów (3)";508;487;443;
1218014;"Andrychów - urban area (4)";336;327;290;
1218015;"Andrychów - rural area (5)";172;160;153;
1218022;"Brzeźnica (2)";105;92;82;
1218033;"Kalwaria Zebrzydowska (3)";141;159;151;
1218034;"Kalwaria Zebrzydowska - urban area (4)";45;55;40;
1218035;"Kalwaria Zebrzydowska - rural area (5)";96;104;111;
1218042;"Lanckorona (2)";41;58;38;
1218052;"Mucharz (2)";50;36;29;
1218062;"Spytkowice (2)";90;74;73;
1218072;"Stryszów (2)";42;65;50;
1218082;"Tomice (2)";87;65;74;
1218093;"Wadowice (3)";436;421;475;
1218094;"Wadowice - urban area (4)";256;234;273;
1218095;"Wadowice - rural area (5)";180;187;202;
1218102;"Wieprz (2)";91;69;82;
1219000;"Powiat wielicki";1227;1216;1204;
1219012;"Biskupice (2)";73;81;66;
1219022;"Gdów (2)";127;105;109;
1219032;"Kłaj (2)";72;79;82;
1219043;"Niepołomice (3)";247;282;257;
1219044;"Niepołomice - urban area (4)";133;133;125;
1219045;"Niepołomice - rural area (5)";114;149;132;
1219053;"Wieliczka (3)";708;669;690;
1219054;"Wieliczka - urban area (4)";370;355;334;
1219055;"Wieliczka - rural area (5)";338;314;356;
1261000;"City with powiat status Kraków";7226;7358;7273;
1261011;"Kraków (1)";7226;7358;7273;
1262000;"City with powiat status Nowy Sącz";926;901;834;
1262011;"Nowy Sącz (1)";926;901;834;
1263000;"City with powiat status Tarnów";1418;1204;1089;
1263011;"Tarnów (1)";1418;1204;1089;
1400000;"MAZOWIECKIE";59671;57843;59203;
1401000;"Powiat białobrzeski";389;343;331;
1401013;"Białobrzegi (3)";144;115;114;
1401014;"Białobrzegi - urban area (4)";101;91;86;
1401015;"Białobrzegi - rural area (5)";43;24;28;
1401022;"Promna (2)";56;72;56;
1401032;"Radzanów (2)";32;26;29;
1401042;"Stara Błotnica (2)";42;47;51;
1401052;"Stromiec (2)";87;53;45;
1401063;"Wyśmierzyce (3)";28;30;36;
1401064;"Wyśmierzyce - urban area (4)";9;13;8;
1401065;"Wyśmierzyce - rural area (5)";19;17;28;
1402000;"Powiat ciechanowski";1089;983;1062;
1402011;"Ciechanów (1)";545;476;510;
1402022;"Ciechanów (2)";78;79;93;
1402033;"Glinojeck (3)";109;99;98;
1402034;"Glinojeck - urban area (4)";49;36;40;
1402035;"Glinojeck - rural area (5)";60;63;58;
1402042;"Gołymin-Ośrodek (2)";49;47;54;
1402052;"Grudusk (2)";42;52;46;
1402062;"Ojrzeń (2)";63;32;57;
1402072;"Opinogóra Górna (2)";67;62;65;
1402082;"Regimin (2)";59;61;48;
1402092;"Sońsk (2)";77;75;91;
1403000;"Powiat garwoliński";1216;1230;1033;
1403011;"Garwolin (1)";211;214;200;
1403021;"Łaskarzew (1)";54;57;52;
1403032;"Borowie (2)";68;63;42;
1403042;"Garwolin (2)";120;117;108;
1403052;"Górzno (2)";56;47;42;
1403062;"Łaskarzew (2)";50;60;55;
1403072;"Maciejowice (2)";63;87;71;
1403082;"Miastków Kościelny (2)";52;47;37;
1403092;"Parysów (2)";44;66;38;
1403103;"Pilawa (3)";158;126;125;
1403104;"Pilawa - urban area (4)";54;57;63;
1403105;"Pilawa - rural area (5)";104;69;62;
1403112;"Sobolew (2)";82;85;64;
1403122;"Trojanów (2)";80;70;62;
1403132;"Wilga (2)";52;78;37;
1403143;"Żelechów (3)";126;113;100;
1403144;"Żelechów - urban area (4)";52;55;65;
1403145;"Żelechów - rural area (5)";74;58;35;
1404000;"Powiat gostyniński";491;448;513;
1404011;"Gostynin (1)";193;213;251;
1404022;"Gostynin (2)";130;101;137;
1404032;"Pacyna (2)";36;33;25;
1404043;"Sanniki (3)";67;67;66;
1404044;"Sanniki - urban area (4)";32;26;27;
1404045;"Sanniki - rural area (5)";35;41;39;
1404052;"Szczawin Kościelny (2)";65;34;34;
1405000;"Powiat grodziski";1304;1262;1552;
1405011;"Milanówek (1)";243;259;233;
1405021;"Podkowa Leśna (1)";56;52;53;
1405032;"Baranów (2)";64;55;212;
1405043;"Grodzisk Mazowiecki (3)";762;670;773;
1405044;"Grodzisk Mazowiecki - urban area (4)";537;429;556;
1405045;"Grodzisk Mazowiecki - rural area (5)";225;241;217;
1405052;"Jaktorów (2)";97;132;168;
1405062;"Żabia Wola (2)";82;94;113;
1406000;"Powiat grójecki";1055;977;1027;
1406012;"Belsk Duży (2)";63;78;74;
1406022;"Błędów (2)";58;57;73;
1406032;"Chynów (2)";102;67;79;
1406042;"Goszczyn (2)";20;25;30;
1406053;"Grójec (3)";371;322;325;
1406054;"Grójec - urban area (4)";256;234;236;
1406055;"Grójec - rural area (5)";115;88;89;
1406062;"Jasieniec (2)";66;30;30;
1406073;"Mogielnica (3)";88;90;97;
1406074;"Mogielnica - urban area (4)";24;26;30;
1406075;"Mogielnica - rural area (5)";64;64;67;
1406083;"Nowe Miasto nad Pilicą (3)";84;93;76;
1406084;"Nowe Miasto nad Pilicą - urban area (4)";44;45;44;
1406085;"Nowe Miasto nad Pilicą - rural area (5)";40;48;32;
1406092;"Pniewy (2)";50;34;60;
1406113;"Warka (3)";153;181;183;
1406114;"Warka - urban area (4)";89;106;128;
1406115;"Warka - rural area (5)";64;75;55;
1407000;"Powiat kozienicki";628;731;636;
1407012;"Garbatka-Letnisko (2)";39;55;65;
1407022;"Głowaczów (2)";84;81;80;
1407032;"Gniewoszów (2)";44;27;35;
1407042;"Grabów nad Pilicą (2)";35;49;38;
1407053;"Kozienice (3)";352;397;344;
1407054;"Kozienice - urban area (4)";231;292;206;
1407055;"Kozienice - rural area (5)";121;105;138;
1407062;"Magnuszew (2)";48;80;39;
1407072;"Sieciechów (2)";26;42;35;
1408000;"Powiat legionowski";1678;1564;1561;
1408011;"Legionowo (1)";866;799;761;
1408022;"Jabłonna (2)";268;244;294;
1408032;"Nieporęt (2)";175;140;157;
1408043;"Serock (3)";174;186;191;
1408044;"Serock - urban area (4)";51;52;47;
1408045;"Serock - rural area (5)";123;134;144;
1408052;"Wieliszew (2)";195;195;158;
1409000;"Powiat lipski";439;410;346;
1409012;"Chotcza (2)";36;22;13;
1409022;"Ciepielów (2)";62;63;60;
1409033;"Lipsko (3)";183;156;115;
1409034;"Lipsko - urban area (4)";115;93;65;
1409035;"Lipsko - rural area (5)";68;63;50;
1409042;"Rzeczniów (2)";35;51;45;
1409052;"Sienno (2)";69;71;55;
1409063;"Solec nad Wisłą (3)";54;47;58;
1409064;"Solec nad Wisłą - urban area (4)";1;7;10;
1409065;"Solec nad Wisłą - rural area (5)";53;40;48;
1410000;"Powiat łosicki";420;343;358;
1410012;"Huszlew (2)";38;25;40;
1410023;"Łosice (3)";144;131;129;
1410024;"Łosice - urban area (4)";108;95;81;
1410025;"Łosice - rural area (5)";36;36;48;
1410032;"Olszanka (2)";38;33;26;
1410042;"Platerów (2)";54;55;64;
1410052;"Sarnaki (2)";92;53;64;
1410062;"Stara Kornica (2)";54;46;35;
1411000;"Powiat makowski";502;579;508;
1411011;"Maków Mazowiecki (1)";115;144;119;
1411022;"Czerwonka (2)";25;38;22;
1411032;"Karniewo (2)";68;62;43;
1411042;"Krasnosielc (2)";52;59;51;
1411052;"Młynarze (2)";31;16;33;
1411062;"Płoniawy-Bramura (2)";66;78;77;
1411073;"Różan (3)";54;69;55;
1411074;"Różan - urban area (4)";33;44;35;
1411075;"Różan - rural area (5)";21;25;20;
1411082;"Rzewnie (2)";29;32;25;
1411092;"Sypniewo (2)";35;49;45;
1411102;"Szelków (2)";27;32;38;
1412000;"Powiat miński";1825;1629;1555;
1412011;"Mińsk Mazowiecki (1)";586;526;544;
1412042;"Cegłów (2)";48;;;
1412043;"Cegłów (3)";;63;59;
1412044;"Cegłów - urban area (4)";;16;18;
1412045;"Cegłów - rural area (5)";;47;41;
1412052;"Dębe Wielkie (2)";85;92;69;
1412062;"Dobre (2)";50;52;41;
1412073;"Halinów (3)";164;157;170;
1412074;"Halinów - urban area (4)";34;28;45;
1412075;"Halinów - rural area (5)";130;129;125;
1412082;"Jakubów (2)";64;50;49;
1412093;"Kałuszyn (3)";77;55;71;
1412094;"Kałuszyn - urban area (4)";43;22;37;
1412095;"Kałuszyn - rural area (5)";34;33;34;
1412102;"Latowicz (2)";59;49;;
1412103;"Latowicz (3)";;;52;
1412104;"Latowicz - urban area (4)";;;20;
1412105;"Latowicz - rural area (5)";;;32;
1412112;"Mińsk Mazowiecki (2)";179;136;146;
1412123;"Mrozy (3)";90;90;57;
1412124;"Mrozy - urban area (4)";43;27;21;
1412125;"Mrozy - rural area (5)";47;63;36;
1412132;"Siennica (2)";85;80;57;
1412142;"Stanisławów (2)";72;62;54;
1412151;"Sulejówek (1)";266;217;186;
1413000;"Powiat mławski";944;819;894;
1413011;"Mława (1)";347;304;357;
1413022;"Dzierzgowo (2)";54;63;31;
